"","KO","trinity","path"
"4216","K00249","TRINITY_DN4869_c0_g2_i4","ko00071"
"4233","K03046","TRINITY_DN4818_c0_g1_i2","ko03020"
"4238","K15377","TRINITY_DN4887_c0_g1_i2","ko05231"
"4240","K14791","TRINITY_DN6885_c1_g1_i1","NA"
"4242","K01834","TRINITY_DN4828_c0_g1_i1","ko00010"
"4244","K15335","TRINITY_DN4833_c2_g1_i1","NA"
"4247","K17609","TRINITY_DN4881_c1_g1_i1","NA"
"4248","K06105","TRINITY_DN4881_c0_g2_i1","ko04530"
"4252","K14855","TRINITY_DN6885_c0_g1_i1","NA"
"4253","K15697","TRINITY_DN4859_c0_g1_i3","NA"
"4256","K22025","TRINITY_DN4892_c0_g1_i1","NA"
"4261","K02884","TRINITY_DN4848_c0_g2_i1","ko03010"
"4263","K16742","TRINITY_DN4890_c0_g1_i2","NA"
"4264","K20890","TRINITY_DN4835_c0_g1_i1","NA"
"4270","K09577","TRINITY_DN4823_c0_g1_i4","NA"
"4272","K18787","TRINITY_DN4886_c0_g1_i2","NA"
"4280","K15272","TRINITY_DN4842_c0_g1_i7","NA"
"4281","K01201","TRINITY_DN4854_c0_g1_i2","ko00511"
"4282","K10592","TRINITY_DN6899_c0_g1_i1","ko04120"
"4284","K02370","TRINITY_DN4854_c1_g2_i1","ko00534"
"4287","K19882","TRINITY_DN4831_c0_g1_i1","ko04310"
"4288","K06180","TRINITY_DN4814_c0_g1_i4","NA"
"4291","K08869","TRINITY_DN4819_c0_g1_i1","NA"
"4292","K08869","TRINITY_DN4819_c0_g2_i2","NA"
"4294","K08869","TRINITY_DN4819_c0_g3_i2","NA"
"4297","K06174","TRINITY_DN4850_c0_g1_i4","NA"
"4298","K16744","TRINITY_DN4853_c0_g1_i1","NA"
"4309","K08770","TRINITY_DN4816_c0_g3_i2","ko03320"
"4310","K03671","TRINITY_DN4816_c1_g2_i1","ko04621"
"4313","K08770","TRINITY_DN4816_c1_g5_i1","ko03320"
"4314","K01243","TRINITY_DN4893_c0_g1_i2","ko00270"
"4315","K02893","TRINITY_DN4878_c0_g1_i5","ko03010"
"4317","K02893","TRINITY_DN4878_c0_g3_i1","ko03010"
"4319","K21766","TRINITY_DN29566_c0_g1_i1","NA"
"4320","K11594","TRINITY_DN29575_c0_g2_i1","ko04622"
"4322","K09668","TRINITY_DN29514_c0_g2_i2","ko00515"
"4325","K10408","TRINITY_DN29557_c0_g1_i1","ko05016"
"4328","K05692","TRINITY_DN6846_c0_g1_i2","ko04015"
"4332","K02324","TRINITY_DN29569_c0_g1_i1","ko03030"
"4334","K10457","TRINITY_DN29570_c0_g1_i1","NA"
"4337","K02183","TRINITY_DN16330_c0_g1_i1","ko04014"
"4349","K09420","TRINITY_DN16170_c0_g3_i1","ko04151"
"4351","K11853","TRINITY_DN16359_c0_g2_i1","NA"
"4358","K10667","TRINITY_DN16381_c0_g1_i1","NA"
"4361","K01536","TRINITY_DN16336_c0_g1_i1","NA"
"4363","K11000","TRINITY_DN16390_c0_g1_i1","NA"
"4364","K01255","TRINITY_DN16353_c0_g1_i1","ko00480"
"4365","K00927","TRINITY_DN16323_c0_g1_i2","ko00010"
"4367","K16462","TRINITY_DN16392_c0_g1_i1","NA"
"4372","K10436","TRINITY_DN16350_c1_g1_i1","NA"
"4376","K17255","TRINITY_DN16318_c0_g1_i1","NA"
"4377","K00592","TRINITY_DN16321_c0_g1_i2","NA"
"4381","K11857","TRINITY_DN6857_c0_g1_i1","NA"
"4385","K05956","TRINITY_DN16394_c0_g1_i1","NA"
"4388","K11253","TRINITY_DN16363_c0_g1_i1","ko05034"
"4389","K03685","TRINITY_DN16329_c0_g1_i2","ko03008"
"4390","K18592","TRINITY_DN16373_c0_g2_i1","ko00430"
"4399","K19525","TRINITY_DN16383_c1_g2_i1","NA"
"4402","K16900","TRINITY_DN6881_c0_g1_i2","NA"
"4407","K08582","TRINITY_DN16312_c4_g1_i2","NA"
"4408","K14301","TRINITY_DN16312_c1_g2_i1","ko03013"
"4419","K09955","TRINITY_DN16300_c0_g1_i1","NA"
"4421","K15710","TRINITY_DN16382_c0_g1_i1","NA"
"4422","K06614","TRINITY_DN6868_c0_g1_i1","NA"
"4427","K08802","TRINITY_DN4900_c0_g1_i1","NA"
"4430","K13348","TRINITY_DN4910_c0_g2_i1","ko04146"
"4431","K10352","TRINITY_DN4910_c0_g3_i1","ko04530"
"4434","K21777","TRINITY_DN4984_c0_g1_i4","NA"
"4435","K21777","TRINITY_DN4984_c0_g2_i1","NA"
"4436","K18183","TRINITY_DN4902_c0_g1_i1","ko04714"
"4437","K02366","TRINITY_DN4986_c0_g1_i2","ko00534"
"4444","K01777","TRINITY_DN6897_c0_g1_i1","ko00330"
"4446","K14766","TRINITY_DN4955_c0_g1_i1","NA"
"4451","K04853","TRINITY_DN4982_c0_g3_i1","ko04010"
"4452","K22868","TRINITY_DN4987_c0_g1_i1","NA"
"4455","K01070","TRINITY_DN16147_c0_g1_i1","ko00680"
"4456","K13750","TRINITY_DN6817_c0_g1_i2","NA"
"4458","K22864","TRINITY_DN4994_c0_g2_i1","NA"
"4463","K12831","TRINITY_DN4928_c4_g1_i1","ko03040"
"4464","K06027","TRINITY_DN4928_c1_g2_i1","ko04138"
"4466","K01939","TRINITY_DN6806_c0_g1_i3","ko00230"
"4469","K01519","TRINITY_DN4974_c0_g1_i6","ko00230"
"4476","K06092","TRINITY_DN4996_c0_g1_i1","ko04390"
"4485","K02470","TRINITY_DN4930_c0_g1_i1","NA"
"4490","K20101","TRINITY_DN4947_c0_g5_i1","NA"
"4498","K03018","TRINITY_DN4914_c0_g1_i7","ko03020"
"4500","K01315","TRINITY_DN4918_c0_g1_i6","ko04080"
"4501","K05460","TRINITY_DN4918_c0_g2_i1","ko01521"
"4502","K01315","TRINITY_DN4918_c1_g3_i3","ko04080"
"4503","K01315","TRINITY_DN4918_c1_g2_i5","ko04080"
"4505","K01315","TRINITY_DN4918_c2_g1_i1","ko04080"
"4506","K13628","TRINITY_DN4981_c2_g2_i1","NA"
"4510","K00366","TRINITY_DN4981_c0_g3_i1","ko00910"
"4518","K08798","TRINITY_DN4998_c0_g1_i2","NA"
"4520","K13984","TRINITY_DN4932_c0_g1_i2","ko04141"
"4526","K01259","TRINITY_DN4923_c0_g1_i2","ko00330"
"4529","K10454","TRINITY_DN4926_c0_g1_i8","NA"
"4535","K14846","TRINITY_DN4911_c0_g1_i1","NA"
"4536","K01069","TRINITY_DN4936_c0_g1_i1","ko00620"
"4547","K19878","TRINITY_DN4905_c0_g1_i4","NA"
"4549","K17491","TRINITY_DN4970_c0_g1_i1","ko04212"
"4550","K06173","TRINITY_DN6813_c0_g1_i1","NA"
"4552","K02259","TRINITY_DN4970_c0_g3_i2","ko00190"
"4553","K04712","TRINITY_DN4970_c3_g1_i3","ko00600"
"4556","K09553","TRINITY_DN4971_c0_g5_i1","ko05020"
"4558","K22366","TRINITY_DN4971_c0_g2_i1","NA"
"4561","K18730","TRINITY_DN6848_c0_g1_i1","NA"
"4566","K10405","TRINITY_DN4916_c0_g1_i1","NA"
"4569","K17592","TRINITY_DN4925_c1_g2_i3","NA"
"4572","K07507","TRINITY_DN6860_c0_g1_i3","NA"
"4573","K17630","TRINITY_DN4925_c0_g2_i1","ko04014"
"4574","K05767","TRINITY_DN4937_c0_g1_i1","ko04810"
"4576","K00734","TRINITY_DN4980_c0_g1_i1","ko00532"
"4578","K11644","TRINITY_DN4935_c0_g1_i2","ko04139"
"4582","K10614","TRINITY_DN4917_c0_g2_i1","ko04120"
"4591","K10756","TRINITY_DN46863_c0_g1_i1","ko03030"
"4593","K02951","TRINITY_DN46812_c0_g1_i1","ko03010"
"4609","K10357","TRINITY_DN40342_c0_g1_i1","NA"
"4610","K05609","TRINITY_DN40330_c0_g1_i1","NA"
"4615","K22048","TRINITY_DN40317_c0_g1_i1","NA"
"4618","K14165","TRINITY_DN40326_c0_g1_i1","NA"
"4626","K14290","TRINITY_DN40384_c0_g1_i1","ko03008"
"4632","K15779","TRINITY_DN40319_c0_g1_i1","ko00010"
"4636","K03691","TRINITY_DN40398_c0_g1_i1","ko00514"
"4638","K06911","TRINITY_DN17656_c0_g1_i1","NA"
"4640","K01893","TRINITY_DN17673_c0_g1_i1","ko00970"
"4644","K00814","TRINITY_DN6874_c0_g1_i1","ko00220"
"4646","K12812","TRINITY_DN17625_c0_g1_i1","ko03013"
"4648","K02883","TRINITY_DN17624_c0_g1_i1","ko03010"
"4660","K10408","TRINITY_DN17636_c0_g5_i1","ko05016"
"4661","K10408","TRINITY_DN17636_c0_g1_i2","ko05016"
"4662","K10408","TRINITY_DN17636_c0_g3_i1","ko05016"
"4663","K10408","TRINITY_DN17636_c1_g1_i1","ko05016"
"4674","K14548","TRINITY_DN17686_c0_g1_i1","ko03008"
"4675","K01256","TRINITY_DN17646_c0_g1_i1","ko00480"
"4679","K07964","TRINITY_DN6877_c0_g1_i1","ko00531"
"4681","K19413","TRINITY_DN17644_c0_g1_i1","NA"
"4683","K21866","TRINITY_DN17660_c0_g1_i2","NA"
"4684","K19352","TRINITY_DN17681_c0_g1_i2","NA"
"4687","K14959","TRINITY_DN17668_c4_g1_i1","ko00310"
"4688","K02929","TRINITY_DN6821_c0_g1_i4","ko03010"
"4691","K10408","TRINITY_DN17680_c0_g1_i1","ko05016"
"4695","K20473","TRINITY_DN17631_c0_g2_i3","NA"
"4698","K16465","TRINITY_DN17683_c0_g1_i2","NA"
"4699","K08239","TRINITY_DN17639_c0_g1_i1","ko04142"
"4702","K12275","TRINITY_DN7301_c0_g1_i1","ko03060"
"4711","K00558","TRINITY_DN7302_c0_g3_i1","ko00270"
"4712","K02183","TRINITY_DN7340_c0_g1_i2","ko04014"
"4716","K10357","TRINITY_DN7325_c0_g1_i6","NA"
"4719","K10357","TRINITY_DN7325_c0_g3_i3","NA"
"4720","K10352","TRINITY_DN7325_c1_g1_i1","ko04530"
"4721","K20711","TRINITY_DN7362_c1_g2_i1","NA"
"4724","K08582","TRINITY_DN7362_c0_g1_i3","NA"
"4729","K17451","TRINITY_DN7305_c0_g1_i1","ko00310"
"4734","K23166","TRINITY_DN7368_c0_g1_i1","NA"
"4736","K07253","TRINITY_DN7381_c0_g1_i2","ko00350"
"4744","K02943","TRINITY_DN7397_c0_g2_i1","ko03010"
"4746","K10738","TRINITY_DN7322_c2_g1_i2","NA"
"4759","K13302","TRINITY_DN7321_c1_g1_i5","ko04068"
"4761","K20783","TRINITY_DN6858_c1_g3_i2","ko00514"
"4762","K13989","TRINITY_DN7383_c0_g1_i1","ko04141"
"4764","K10442","TRINITY_DN7394_c0_g1_i1","NA"
"4765","K00969","TRINITY_DN7312_c0_g1_i1","ko00760"
"4767","K03686","TRINITY_DN7370_c0_g1_i2","NA"
"4771","K12878","TRINITY_DN6858_c1_g2_i4","ko03013"
"4772","K01193","TRINITY_DN7324_c0_g1_i1","ko00052"
"4773","K20132","TRINITY_DN7345_c0_g1_i3","NA"
"4775","K05791","TRINITY_DN7395_c0_g1_i1","NA"
"4776","K02966","TRINITY_DN7382_c0_g1_i1","ko03010"
"4780","K14652","TRINITY_DN7350_c0_g4_i1","ko00740"
"4781","K20783","TRINITY_DN6858_c1_g1_i2","ko00514"
"4783","K22390","TRINITY_DN7350_c0_g2_i1","NA"
"4788","K14018","TRINITY_DN7338_c0_g1_i3","ko04141"
"4789","K14546","TRINITY_DN7310_c1_g2_i3","ko03008"
"4809","K00799","TRINITY_DN7357_c0_g1_i1","ko00480"
"4817","K11857","TRINITY_DN7377_c0_g1_i4","NA"
"4819","K20783","TRINITY_DN6858_c1_g4_i2","ko00514"
"4823","K01443","TRINITY_DN7361_c2_g1_i1","ko00520"
"4840","K02295","TRINITY_DN31467_c0_g1_i1","ko04710"
"4842","K01231","TRINITY_DN31413_c0_g1_i2","ko00510"
"4845","K02969","TRINITY_DN31404_c0_g1_i1","ko03010"
"4846","K14648","TRINITY_DN6833_c0_g1_i3","NA"
"4853","K15987","TRINITY_DN31419_c0_g1_i1","NA"
"4857","K10862","TRINITY_DN6840_c0_g1_i4","NA"
"4865","K03177","TRINITY_DN6804_c0_g1_i3","NA"
"4868","K15255","TRINITY_DN23455_c0_g2_i1","NA"
"4880","K01408","TRINITY_DN23463_c0_g1_i2","ko05010"
"4884","K02956","TRINITY_DN6867_c0_g1_i1","ko03010"
"4886","K03696","TRINITY_DN23436_c0_g1_i1","NA"
"4890","K18643","TRINITY_DN23417_c0_g1_i1","NA"
"4891","K11498","TRINITY_DN23402_c0_g1_i1","NA"
"4901","K09304","TRINITY_DN34109_c0_g1_i1","NA"
"4904","K10408","TRINITY_DN34185_c0_g1_i1","ko05016"
"4906","K03940","TRINITY_DN6849_c0_g1_i3","ko00190"
"4907","K05808","TRINITY_DN34174_c0_g1_i1","NA"
"4908","K01619","TRINITY_DN34104_c0_g1_i1","ko00030"
"4914","K12447","TRINITY_DN13899_c0_g1_i6","ko00040"
"4915","K12447","TRINITY_DN13899_c0_g2_i4","ko00040"
"4916","K00854","TRINITY_DN13805_c0_g1_i1","ko00040"
"4921","K00323","TRINITY_DN13847_c0_g1_i2","ko00760"
"4925","K03155","TRINITY_DN13862_c0_g1_i1","NA"
"4931","K12231","TRINITY_DN13848_c0_g1_i1","NA"
"4935","K16911","TRINITY_DN13886_c0_g1_i1","NA"
"4941","K14574","TRINITY_DN13860_c0_g1_i2","ko03008"
"4945","K22614","TRINITY_DN13876_c0_g2_i1","NA"
"4949","K01201","TRINITY_DN6841_c0_g1_i1","ko00511"
"4951","K02533","TRINITY_DN13845_c0_g2_i1","NA"
"4956","K03100","TRINITY_DN13834_c0_g1_i1","ko03060"
"4957","K01379","TRINITY_DN13813_c0_g1_i1","ko04071"
"4959","K01610","TRINITY_DN13898_c0_g1_i2","ko00010"
"4960","K05349","TRINITY_DN6841_c0_g2_i2","ko00460"
"4965","K03626","TRINITY_DN13830_c0_g1_i1","ko04928"
"4967","K09488","TRINITY_DN13864_c1_g1_i1","NA"
"4968","K04079","TRINITY_DN13864_c0_g2_i1","ko04141"
"4969","K04079","TRINITY_DN13864_c0_g3_i1","ko04141"
"4971","K03363","TRINITY_DN13895_c0_g1_i1","ko04110"
"4972","K00472","TRINITY_DN13842_c1_g2_i1","ko00330"
"4987","K01810","TRINITY_DN13832_c0_g1_i1","ko00010"
"4991","K00650","TRINITY_DN13892_c0_g2_i1","ko00564"
"4994","K18995","TRINITY_DN28097_c0_g1_i1","NA"
"4997","K13988","TRINITY_DN28087_c0_g1_i1","ko00230"
"5007","K11644","TRINITY_DN28012_c0_g1_i1","ko04139"
"5011","K16756","TRINITY_DN28019_c0_g1_i1","NA"
"5015","K12400","TRINITY_DN13710_c0_g2_i1","ko04142"
"5019","K17757","TRINITY_DN13942_c0_g1_i1","NA"
"5020","K03500","TRINITY_DN13993_c0_g2_i1","NA"
"5030","K18465","TRINITY_DN13928_c0_g1_i1","ko04144"
"5032","K08994","TRINITY_DN13985_c0_g1_i1","NA"
"5034","K00587","TRINITY_DN13746_c0_g1_i1","ko00900"
"5043","K20790","TRINITY_DN13991_c1_g1_i2","NA"
"5050","K14555","TRINITY_DN13959_c1_g1_i2","ko03008"
"5051","K20299","TRINITY_DN13737_c0_g1_i1","NA"
"5052","K10380","TRINITY_DN13959_c2_g1_i2","ko04624"
"5054","K09553","TRINITY_DN13947_c0_g1_i1","ko05020"
"5057","K19348","TRINITY_DN13900_c0_g1_i1","NA"
"5058","K04838","TRINITY_DN13902_c0_g1_i1","ko04261"
"5060","K00499","TRINITY_DN13992_c0_g1_i2","ko00260"
"5064","K00911","TRINITY_DN13999_c1_g1_i1","ko00562"
"5067","K10401","TRINITY_DN13986_c0_g2_i1","NA"
"5073","K00974","TRINITY_DN13955_c0_g1_i1","ko03013"
"5074","K07964","TRINITY_DN13973_c0_g1_i1","ko00531"
"5076","K10297","TRINITY_DN13919_c0_g1_i1","NA"
"5078","K04730","TRINITY_DN13970_c0_g1_i1","ko04010"
"5079","K07126","TRINITY_DN13970_c0_g2_i3","NA"
"5083","K03007","TRINITY_DN13987_c0_g1_i1","ko03020"
"5094","K16616","TRINITY_DN33681_c0_g1_i1","NA"
"5096","K00898","TRINITY_DN33685_c0_g1_i1","NA"
"5098","K02734","TRINITY_DN33622_c0_g1_i1","ko03050"
"5104","K01466","TRINITY_DN33644_c0_g1_i1","ko00230"
"5106","K09478","TRINITY_DN33608_c0_g1_i1","ko00071"
"5107","K00627","TRINITY_DN33677_c0_g1_i1","ko00010"
"5109","K09537","TRINITY_DN13700_c1_g1_i1","NA"
"5111","K23334","TRINITY_DN33639_c0_g1_i1","NA"
"5124","K14844","TRINITY_DN13789_c0_g1_i1","NA"
"5132","K02903","TRINITY_DN38764_c0_g1_i1","ko03010"
"5133","K14844","TRINITY_DN13789_c0_g2_i1","NA"
"5136","K21867","TRINITY_DN38701_c0_g1_i1","NA"
"5138","K02517","TRINITY_DN38723_c0_g1_i1","ko00540"
"5139","K14959","TRINITY_DN38770_c0_g1_i1","ko00310"
"5141","K02940","TRINITY_DN38799_c0_g1_i1","ko03010"
"5144","K14816","TRINITY_DN38717_c0_g1_i1","NA"
"5146","K19676","TRINITY_DN13761_c0_g1_i1","NA"
"5149","K07912","TRINITY_DN43878_c0_g1_i1","NA"
"5150","K14165","TRINITY_DN13791_c0_g2_i1","NA"
"5152","K14572","TRINITY_DN43874_c0_g1_i1","ko03008"
"5160","K21437","TRINITY_DN43872_c0_g1_i1","NA"
"5162","K10414","TRINITY_DN43814_c0_g1_i1","ko04145"
"5163","K14537","TRINITY_DN13769_c0_g1_i1","ko03008"
"5171","K10290","TRINITY_DN43803_c0_g1_i4","NA"
"5172","K00542","TRINITY_DN13742_c0_g1_i1","ko00260"
"5175","K12572","TRINITY_DN42963_c0_g1_i1","ko03018"
"5177","K02260","TRINITY_DN42988_c0_g1_i1","ko00190"
"5178","K09498","TRINITY_DN42939_c0_g1_i1","NA"
"5180","K17592","TRINITY_DN13711_c0_g1_i1","NA"
"5182","K13348","TRINITY_DN42952_c0_g1_i1","ko04146"
"5184","K06252","TRINITY_DN42927_c0_g1_i1","ko04151"
"5192","K15272","TRINITY_DN42989_c0_g1_i1","NA"
"5195","K21440","TRINITY_DN42947_c0_g1_i1","NA"
"5202","K07827","TRINITY_DN42959_c0_g1_i1","ko01521"
"5206","K00939","TRINITY_DN42908_c0_g1_i1","ko00230"
"5207","K01455","TRINITY_DN42901_c0_g1_i1","ko00460"
"5211","K06252","TRINITY_DN42914_c0_g1_i1","ko04151"
"5215","K01512","TRINITY_DN42980_c0_g1_i1","ko00620"
"5218","K19195","TRINITY_DN37995_c0_g1_i1","NA"
"5219","K10899","TRINITY_DN37929_c0_g1_i1","NA"
"5221","K17609","TRINITY_DN37974_c0_g1_i1","NA"
"5225","K08802","TRINITY_DN13733_c0_g1_i1","NA"
"5226","K03676","TRINITY_DN37992_c0_g1_i1","NA"
"5229","K10408","TRINITY_DN37939_c0_g1_i1","ko05016"
"5230","K00286","TRINITY_DN37982_c0_g1_i1","ko00330"
"5231","K02128","TRINITY_DN37944_c0_g1_i1","ko00190"
"5234","K14530","TRINITY_DN13728_c1_g1_i1","ko03008"
"5236","K00293","TRINITY_DN37955_c0_g1_i1","ko00300"
"5238","K00140","TRINITY_DN37927_c0_g1_i1","ko00280"
"5241","K03515","TRINITY_DN37956_c0_g1_i1","ko03460"
"5243","K15446","TRINITY_DN13728_c0_g1_i1","NA"
"5245","K01109","TRINITY_DN37907_c0_g1_i1","ko00562"
"5249","K06999","TRINITY_DN37948_c0_g1_i1","NA"
"5256","K18458","TRINITY_DN37976_c0_g1_i1","NA"
"5257","K14401","TRINITY_DN37993_c0_g1_i1","ko03015"
"5264","K01858","TRINITY_DN32408_c0_g1_i1","ko00521"
"5266","K12449","TRINITY_DN13796_c0_g1_i1","ko00520"
"5271","K12199","TRINITY_DN14457_c0_g1_i1","ko04144"
"5281","K05641","TRINITY_DN14464_c0_g2_i1","ko02010"
"5285","K13239","TRINITY_DN14444_c0_g1_i1","ko00071"
"5286","K10408","TRINITY_DN14424_c0_g2_i1","ko05016"
"5289","K12829","TRINITY_DN14435_c0_g1_i3","ko03040"
"5290","K06195","TRINITY_DN14443_c0_g1_i1","NA"
"5296","K09582","TRINITY_DN14498_c0_g1_i1","ko04141"
"5297","K01759","TRINITY_DN14442_c0_g1_i1","ko00620"
"5298","K00694","TRINITY_DN14414_c0_g3_i4","ko00500"
"5300","K09613","TRINITY_DN14472_c0_g1_i1","NA"
"5301","K03028","TRINITY_DN14494_c0_g1_i1","ko03050"
"5302","K03028","TRINITY_DN14494_c0_g2_i1","ko03050"
"5304","K10380","TRINITY_DN14466_c0_g1_i1","ko04624"
"5306","K14293","TRINITY_DN13785_c0_g1_i1","ko03013"
"5307","K10408","TRINITY_DN14410_c0_g1_i1","ko05016"
"5309","K17508","TRINITY_DN14470_c0_g1_i1","NA"
"5315","K00003","TRINITY_DN14460_c2_g1_i1","ko00260"
"5317","K07509","TRINITY_DN14421_c0_g1_i1","ko00062"
"5318","K03769","TRINITY_DN14473_c0_g1_i1","NA"
"5322","K16582","TRINITY_DN14484_c0_g4_i1","NA"
"5324","K16602","TRINITY_DN14484_c0_g1_i2","NA"
"5326","K16582","TRINITY_DN14484_c0_g2_i1","NA"
"5328","K01897","TRINITY_DN14474_c0_g1_i1","ko00061"
"5329","K01897","TRINITY_DN14474_c0_g2_i1","ko00061"
"5334","K04794","TRINITY_DN14450_c0_g1_i1","NA"
"5338","K18086","TRINITY_DN14468_c1_g4_i2","ko00562"
"5340","K10595","TRINITY_DN14436_c0_g1_i1","ko04120"
"5341","K09571","TRINITY_DN14412_c0_g1_i1","ko04915"
"5351","K03798","TRINITY_DN14418_c1_g2_i2","NA"
"5352","K09510","TRINITY_DN14418_c1_g1_i1","NA"
"5360","K03240","TRINITY_DN9901_c0_g1_i1","ko03013"
"5370","K06695","TRINITY_DN9941_c0_g1_i1","NA"
"5373","K01507","TRINITY_DN9982_c0_g1_i2","ko00190"
"5374","K03360","TRINITY_DN13779_c0_g5_i1","ko04111"
"5376","K02492","TRINITY_DN9903_c0_g5_i1","ko00860"
"5381","K14571","TRINITY_DN9939_c1_g1_i2","ko03008"
"5394","K15363","TRINITY_DN9944_c0_g1_i2","ko03460"
"5398","K17807","TRINITY_DN9965_c0_g4_i3","NA"
"5399","K07394","TRINITY_DN9965_c0_g2_i1","NA"
"5410","K10914","TRINITY_DN9931_c0_g1_i2","ko02020"
"5419","K10408","TRINITY_DN9900_c1_g1_i1","ko05016"
"5420","K10408","TRINITY_DN9900_c2_g1_i1","ko05016"
"5421","K10408","TRINITY_DN9900_c0_g1_i2","ko05016"
"5422","K10408","TRINITY_DN9900_c0_g2_i1","ko05016"
"5423","K10408","TRINITY_DN9900_c0_g3_i1","ko05016"
"5426","K14792","TRINITY_DN9945_c0_g1_i1","NA"
"5427","K14792","TRINITY_DN9945_c0_g2_i1","NA"
"5433","K02876","TRINITY_DN9943_c0_g1_i1","ko03010"
"5435","K00599","TRINITY_DN9955_c0_g2_i1","NA"
"5436","K01803","TRINITY_DN9908_c0_g1_i1","ko00010"
"5437","K09580","TRINITY_DN9952_c0_g1_i5","ko04141"
"5440","K01135","TRINITY_DN9920_c1_g1_i3","ko00531"
"5446","K17570","TRINITY_DN9997_c0_g1_i1","NA"
"5448","K20310","TRINITY_DN9938_c0_g1_i1","NA"
"5454","K19937","TRINITY_DN9918_c0_g1_i1","NA"
"5459","K00327","TRINITY_DN9971_c4_g1_i1","NA"
"5461","K00327","TRINITY_DN9971_c2_g2_i1","NA"
"5463","K00327","TRINITY_DN9971_c2_g1_i1","NA"
"5464","K11446","TRINITY_DN9994_c0_g1_i1","NA"
"5469","K06627","TRINITY_DN9909_c0_g1_i1","ko04110"
"5474","K03500","TRINITY_DN9973_c0_g1_i1","NA"
"5476","K18463","TRINITY_DN13790_c0_g1_i1","ko04144"
"5477","K00507","TRINITY_DN34993_c0_g1_i1","ko01040"
"5479","K10352","TRINITY_DN34935_c0_g1_i1","ko04530"
"5482","K19998","TRINITY_DN34975_c0_g1_i1","NA"
"5485","K10601","TRINITY_DN13771_c0_g1_i1","ko04120"
"5486","K03249","TRINITY_DN34937_c0_g1_i1","ko03013"
"5491","K11826","TRINITY_DN34991_c0_g1_i1","ko04144"
"5492","K06942","TRINITY_DN13756_c0_g1_i1","NA"
"5495","K03660","TRINITY_DN34955_c0_g1_i1","ko03410"
"5500","K14399","TRINITY_DN13799_c0_g1_i2","ko03015"
"5503","K05389","TRINITY_DN34987_c0_g1_i1","NA"
"5504","K17424","TRINITY_DN34951_c0_g1_i1","NA"
"5508","K07407","TRINITY_DN13759_c0_g2_i1","ko00052"
"5509","K20032","TRINITY_DN47185_c0_g1_i1","NA"
"5510","K10397","TRINITY_DN47120_c0_g1_i1","NA"
"5518","K05542","TRINITY_DN47129_c0_g1_i1","NA"
"5523","K10641","TRINITY_DN9563_c0_g1_i2","NA"
"5526","K19502","TRINITY_DN9562_c0_g2_i3","NA"
"5528","K14607","TRINITY_DN9546_c0_g2_i1","NA"
"5529","K14379","TRINITY_DN9580_c0_g1_i1","ko00740"
"5538","K14015","TRINITY_DN9534_c0_g1_i2","ko04141"
"5539","K08869","TRINITY_DN9534_c3_g1_i2","NA"
"5549","K17769","TRINITY_DN9544_c0_g1_i1","NA"
"5551","K14549","TRINITY_DN9514_c0_g3_i1","ko03008"
"5552","K05349","TRINITY_DN9500_c0_g1_i1","ko00460"
"5555","K05849","TRINITY_DN9536_c0_g1_i1","ko04020"
"5556","K05849","TRINITY_DN9536_c0_g3_i1","ko04020"
"5558","K15505","TRINITY_DN9576_c0_g1_i1","NA"
"5561","K18819","TRINITY_DN9570_c0_g1_i1","ko00052"
"5577","K11842","TRINITY_DN9550_c0_g2_i1","NA"
"5579","K17268","TRINITY_DN9539_c0_g1_i1","NA"
"5581","K14787","TRINITY_DN9577_c0_g1_i1","NA"
"5588","K11423","TRINITY_DN9565_c1_g3_i1","ko00310"
"5597","K03373","TRINITY_DN9516_c2_g2_i5","ko00604"
"5601","K10967","TRINITY_DN9516_c2_g4_i1","ko00514"
"5604","K23424","TRINITY_DN9515_c0_g2_i1","NA"
"5608","K12035","TRINITY_DN9518_c0_g2_i4","ko05206"
"5610","K00820","TRINITY_DN9518_c1_g1_i1","ko00250"
"5613","K11294","TRINITY_DN9586_c0_g1_i1","ko05130"
"5615","K10408","TRINITY_DN13798_c0_g4_i3","ko05016"
"5618","K17086","TRINITY_DN9513_c0_g1_i1","NA"
"5625","K10408","TRINITY_DN13798_c0_g5_i1","ko05016"
"5628","K01166","TRINITY_DN9578_c0_g4_i2","NA"
"5634","K01113","TRINITY_DN9599_c0_g1_i1","ko00790"
"5635","K01113","TRINITY_DN9599_c0_g2_i1","ko00790"
"5636","K10408","TRINITY_DN13798_c0_g1_i1","ko05016"
"5638","K01379","TRINITY_DN9506_c0_g1_i2","ko04071"
"5642","K03086","TRINITY_DN9598_c0_g1_i1","NA"
"5644","K13093","TRINITY_DN9555_c0_g1_i1","NA"
"5645","K10408","TRINITY_DN9524_c0_g1_i2","ko05016"
"5646","K10408","TRINITY_DN13798_c0_g2_i1","ko05016"
"5651","K00750","TRINITY_DN9574_c0_g1_i1","ko00500"
"5652","K02147","TRINITY_DN9517_c0_g1_i1","ko00190"
"5653","K02984","TRINITY_DN9537_c0_g1_i1","ko03010"
"5657","K10408","TRINITY_DN13798_c0_g3_i2","ko05016"
"5665","K00274","TRINITY_DN9504_c0_g1_i3","ko00260"
"5666","K11451","TRINITY_DN9504_c0_g2_i1","NA"
"5668","K08490","TRINITY_DN13763_c0_g1_i1","ko04130"
