original,renamed
TRINITY_DN18432_c0_g1_i1 len=1264 path=[0:0-1263],Transcript_8106
TRINITY_DN18496_c0_g1_i1 len=511 path=[0:0-510],Transcript_8107
TRINITY_DN18496_c0_g2_i1 len=224 path=[0:0-223],Transcript_8108
TRINITY_DN18491_c0_g1_i2 len=3503 path=[0:0-2147 1:2148-2236 2:2237-3502],Transcript_8109
TRINITY_DN18450_c0_g1_i1 len=1826 path=[0:0-1825],Transcript_8110
TRINITY_DN18424_c0_g1_i1 len=238 path=[0:0-237],Transcript_8111
TRINITY_DN18413_c0_g1_i1 len=1996 path=[0:0-1995],Transcript_8112
TRINITY_DN18478_c0_g1_i1 len=646 path=[0:0-645],Transcript_8113
TRINITY_DN18495_c0_g1_i1 len=1022 path=[0:0-1021],Transcript_8114
TRINITY_DN18452_c0_g1_i1 len=645 path=[0:0-644],Transcript_8115
TRINITY_DN18404_c0_g1_i1 len=1346 path=[0:0-1345],Transcript_8116
TRINITY_DN18485_c0_g1_i4 len=1106 path=[0:0-1105],Transcript_8117
TRINITY_DN18410_c0_g1_i1 len=2039 path=[0:0-2038],Transcript_8118
TRINITY_DN18428_c0_g1_i1 len=306 path=[0:0-305],Transcript_8119
TRINITY_DN18402_c0_g1_i1 len=1180 path=[0:0-1179],Transcript_8120
TRINITY_DN18475_c0_g4_i1 len=364 path=[0:0-363],Transcript_8121
TRINITY_DN18475_c0_g1_i5 len=2004 path=[1:0-1361 2:1362-1386 4:1387-2003],Transcript_8122
TRINITY_DN18475_c0_g2_i2 len=1933 path=[0:0-711 1:712-831 2:832-1932],Transcript_8123
TRINITY_DN18475_c0_g3_i2 len=1667 path=[1:0-764 2:765-980 4:981-1666],Transcript_8124
TRINITY_DN18443_c0_g1_i4 len=2305 path=[0:0-2304],Transcript_8125
TRINITY_DN18466_c0_g1_i2 len=1113 path=[0:0-300 1:301-1112],Transcript_8126
TRINITY_DN18456_c0_g3_i6 len=1045 path=[1:0-106 2:107-198 3:199-284 5:285-771 7:772-902 8:903-928 10:929-934 11:935-976 12:977-996 14:997-1044],Transcript_8127
TRINITY_DN23008_c0_g1_i1 len=420 path=[0:0-419],Transcript_8128
TRINITY_DN23009_c0_g1_i1 len=1888 path=[0:0-1887],Transcript_8129
TRINITY_DN23049_c0_g1_i1 len=841 path=[0:0-840],Transcript_8130
TRINITY_DN23049_c0_g2_i1 len=364 path=[0:0-363],Transcript_8131
TRINITY_DN23049_c0_g3_i1 len=312 path=[0:0-311],Transcript_8132
TRINITY_DN23064_c5_g1_i1 len=214 path=[0:0-213],Transcript_8133
TRINITY_DN23064_c0_g1_i1 len=489 path=[0:0-488],Transcript_8134
TRINITY_DN23064_c3_g1_i1 len=239 path=[0:0-238],Transcript_8135
TRINITY_DN23064_c4_g1_i1 len=596 path=[0:0-595],Transcript_8136
TRINITY_DN23064_c1_g3_i1 len=276 path=[0:0-275],Transcript_8137
TRINITY_DN23064_c1_g1_i1 len=247 path=[0:0-246],Transcript_8138
TRINITY_DN23064_c6_g1_i1 len=228 path=[0:0-227],Transcript_8139
TRINITY_DN23060_c0_g1_i2 len=448 path=[0:0-447],Transcript_8140
TRINITY_DN23074_c0_g1_i1 len=789 path=[0:0-788],Transcript_8141
TRINITY_DN23074_c0_g2_i2 len=1043 path=[0:0-523 1:524-1042],Transcript_8142
TRINITY_DN23074_c0_g3_i1 len=525 path=[0:0-524],Transcript_8143
TRINITY_DN23027_c0_g2_i1 len=220 path=[0:0-219],Transcript_8144
TRINITY_DN23075_c0_g1_i1 len=418 path=[0:0-417],Transcript_8145
TRINITY_DN23004_c0_g1_i4 len=1123 path=[0:0-1122],Transcript_8146
TRINITY_DN23035_c0_g1_i1 len=1075 path=[0:0-1074],Transcript_8147
TRINITY_DN23043_c0_g1_i1 len=634 path=[0:0-633],Transcript_8148
TRINITY_DN23041_c0_g2_i1 len=273 path=[0:0-272],Transcript_8149
TRINITY_DN23095_c0_g1_i1 len=601 path=[0:0-600],Transcript_8150
TRINITY_DN23095_c0_g2_i1 len=230 path=[0:0-229],Transcript_8151
TRINITY_DN23023_c0_g1_i1 len=716 path=[0:0-715],Transcript_8152
TRINITY_DN23079_c0_g1_i1 len=444 path=[0:0-121 2:122-443],Transcript_8153
TRINITY_DN23005_c0_g1_i1 len=541 path=[0:0-540],Transcript_8154
TRINITY_DN23005_c0_g2_i1 len=345 path=[0:0-344],Transcript_8155
TRINITY_DN23085_c0_g1_i1 len=354 path=[0:0-353],Transcript_8156
TRINITY_DN23097_c0_g1_i1 len=230 path=[0:0-229],Transcript_8157
TRINITY_DN23096_c0_g1_i1 len=229 path=[0:0-228],Transcript_8158
TRINITY_DN23091_c0_g1_i1 len=1090 path=[0:0-1089],Transcript_8159
TRINITY_DN23081_c0_g1_i1 len=1003 path=[0:0-1002],Transcript_8160
TRINITY_DN23094_c0_g1_i1 len=1447 path=[0:0-1446],Transcript_8161
TRINITY_DN23093_c0_g1_i1 len=994 path=[0:0-219 2:220-993],Transcript_8162
TRINITY_DN23062_c0_g1_i1 len=908 path=[0:0-907],Transcript_8163
TRINITY_DN23012_c0_g1_i1 len=315 path=[0:0-314],Transcript_8164
TRINITY_DN23069_c0_g1_i1 len=384 path=[0:0-383],Transcript_8165
TRINITY_DN23057_c0_g1_i2 len=335 path=[0:0-334],Transcript_8166
TRINITY_DN23044_c0_g1_i1 len=244 path=[0:0-243],Transcript_8167
TRINITY_DN23044_c0_g2_i1 len=321 path=[0:0-320],Transcript_8168
TRINITY_DN23059_c0_g3_i1 len=250 path=[0:0-138 1:139-249],Transcript_8169
TRINITY_DN23039_c0_g1_i1 len=1182 path=[0:0-1181],Transcript_8170
TRINITY_DN23030_c0_g1_i3 len=1162 path=[0:0-802 2:803-1161],Transcript_8171
TRINITY_DN23033_c0_g1_i1 len=1410 path=[0:0-1409],Transcript_8172
TRINITY_DN23033_c0_g3_i1 len=331 path=[0:0-330],Transcript_8173
TRINITY_DN23082_c0_g2_i1 len=233 path=[0:0-232],Transcript_8174
TRINITY_DN23082_c0_g3_i1 len=273 path=[0:0-272],Transcript_8175
TRINITY_DN23025_c0_g1_i1 len=1102 path=[0:0-1101],Transcript_8176
TRINITY_DN23020_c0_g1_i1 len=232 path=[0:0-231],Transcript_8177
TRINITY_DN23053_c0_g1_i1 len=277 path=[0:0-276],Transcript_8178
TRINITY_DN23048_c0_g1_i1 len=316 path=[0:0-315],Transcript_8179
TRINITY_DN23029_c0_g1_i1 len=216 path=[0:0-215],Transcript_8180
TRINITY_DN23014_c0_g1_i1 len=602 path=[0:0-601],Transcript_8181
TRINITY_DN32889_c0_g1_i1 len=284 path=[0:0-283],Transcript_8182
TRINITY_DN32823_c0_g1_i1 len=387 path=[0:0-386],Transcript_8183
TRINITY_DN32856_c0_g1_i1 len=228 path=[0:0-227],Transcript_8184
TRINITY_DN32894_c0_g1_i1 len=245 path=[0:0-244],Transcript_8185
TRINITY_DN32899_c0_g1_i1 len=222 path=[0:0-221],Transcript_8186
TRINITY_DN32867_c0_g1_i1 len=355 path=[0:0-354],Transcript_8187
TRINITY_DN32867_c0_g2_i1 len=234 path=[0:0-233],Transcript_8188
TRINITY_DN32866_c0_g1_i1 len=675 path=[0:0-674],Transcript_8189
TRINITY_DN32885_c0_g2_i1 len=294 path=[0:0-293],Transcript_8190
TRINITY_DN32811_c0_g1_i1 len=277 path=[0:0-276],Transcript_8191
TRINITY_DN32879_c1_g1_i1 len=1839 path=[0:0-1838],Transcript_8192
TRINITY_DN32879_c0_g1_i2 len=962 path=[0:0-200 1:201-241 3:242-244 4:245-961],Transcript_8193
TRINITY_DN32820_c0_g1_i1 len=271 path=[0:0-270],Transcript_8194
TRINITY_DN32865_c0_g1_i1 len=731 path=[0:0-730],Transcript_8195
TRINITY_DN32821_c0_g1_i1 len=357 path=[0:0-356],Transcript_8196
TRINITY_DN32821_c0_g2_i1 len=311 path=[0:0-310],Transcript_8197
TRINITY_DN32806_c0_g1_i1 len=211 path=[0:0-210],Transcript_8198
TRINITY_DN32848_c0_g1_i1 len=256 path=[0:0-255],Transcript_8199
TRINITY_DN32812_c0_g1_i1 len=566 path=[0:0-565],Transcript_8200
TRINITY_DN32853_c0_g1_i1 len=477 path=[0:0-476],Transcript_8201
TRINITY_DN32818_c0_g1_i1 len=904 path=[0:0-903],Transcript_8202
TRINITY_DN32891_c0_g1_i1 len=307 path=[0:0-306],Transcript_8203
TRINITY_DN32805_c0_g1_i1 len=318 path=[0:0-317],Transcript_8204
TRINITY_DN32808_c1_g1_i1 len=270 path=[0:0-269],Transcript_8205
TRINITY_DN32808_c0_g1_i1 len=263 path=[0:0-262],Transcript_8206
TRINITY_DN32882_c0_g1_i1 len=281 path=[0:0-280],Transcript_8207
TRINITY_DN32804_c0_g1_i1 len=916 path=[0:0-915],Transcript_8208
TRINITY_DN32852_c0_g1_i1 len=296 path=[0:0-295],Transcript_8209
TRINITY_DN1495_c1_g2_i1 len=1158 path=[0:0-1157],Transcript_8210
TRINITY_DN1495_c0_g1_i1 len=1290 path=[0:0-1289],Transcript_8211
TRINITY_DN1469_c0_g1_i1 len=862 path=[0:0-597 1:598-674 2:675-861],Transcript_8212
TRINITY_DN1415_c1_g1_i1 len=226 path=[0:0-225],Transcript_8213
TRINITY_DN1422_c0_g1_i1 len=1338 path=[0:0-299 2:300-637 3:638-714 4:715-897 5:898-1016 6:1017-1337],Transcript_8214
TRINITY_DN1468_c0_g4_i2 len=1850 path=[0:0-1265 1:1266-1336 2:1337-1397 3:1398-1527 4:1528-1849],Transcript_8215
TRINITY_DN1468_c0_g5_i1 len=1501 path=[0:0-1500],Transcript_8216
TRINITY_DN1468_c0_g2_i1 len=1781 path=[0:0-1780],Transcript_8217
TRINITY_DN1468_c0_g3_i1 len=1367 path=[0:0-656 1:657-745 2:746-1366],Transcript_8218
TRINITY_DN1436_c0_g1_i1 len=1846 path=[0:0-1845],Transcript_8219
TRINITY_DN1490_c0_g1_i1 len=1064 path=[0:0-459 1:460-531 2:532-771 3:772-851 4:852-1063],Transcript_8220
TRINITY_DN1492_c0_g1_i1 len=1979 path=[0:0-691 1:692-787 2:788-1978],Transcript_8221
TRINITY_DN1406_c0_g1_i7 len=2539 path=[1:0-984 3:985-1016 5:1017-1066 6:1067-1197 7:1198-1417 9:1418-1418 10:1419-1615 11:1616-2538],Transcript_8222
TRINITY_DN1406_c0_g2_i1 len=1230 path=[0:0-1179 1:1180-1229],Transcript_8223
TRINITY_DN1483_c0_g1_i3 len=1660 path=[1:0-1178 2:1179-1392 3:1393-1460 4:1461-1659],Transcript_8224
TRINITY_DN1433_c0_g1_i7 len=3661 path=[0:0-1721 1:1722-1809 2:1810-1966 3:1967-2111 4:2112-2299 6:2300-2563 8:2564-3023 10:3024-3660],Transcript_8225
TRINITY_DN1433_c0_g2_i3 len=1423 path=[0:0-318 2:319-551 3:552-630 4:631-1422],Transcript_8226
TRINITY_DN1433_c2_g1_i1 len=1787 path=[0:0-1786],Transcript_8227
TRINITY_DN1472_c0_g1_i15 len=2556 path=[0:0-163 3:164-473 5:474-576 7:577-693 9:694-778 10:779-888 12:889-1101 13:1102-1205 14:1206-1250 15:1251-1310 16:1311-1371 17:1372-1502 18:1503-1569 19:1570-2148 20:2149-2362 21:2363-2417 22:2418-2555],Transcript_8228
TRINITY_DN1411_c0_g6_i1 len=735 path=[0:0-734],Transcript_8229
TRINITY_DN1411_c0_g7_i1 len=646 path=[0:0-645],Transcript_8230
TRINITY_DN1411_c5_g1_i1 len=2679 path=[0:0-140 2:141-2678],Transcript_8231
TRINITY_DN1411_c0_g2_i1 len=2676 path=[0:0-1132 1:1133-1272 2:1273-1586 3:1587-1669 4:1670-1697 5:1698-1842 6:1843-1910 7:1911-1977 8:1978-2675],Transcript_8232
TRINITY_DN1411_c0_g3_i1 len=2490 path=[0:0-2489],Transcript_8233
TRINITY_DN1411_c3_g1_i3 len=2229 path=[0:0-431 2:432-2228],Transcript_8234
TRINITY_DN1411_c4_g1_i1 len=2939 path=[0:0-1025 1:1026-1102 2:1103-2938],Transcript_8235
TRINITY_DN1411_c3_g2_i1 len=570 path=[0:0-569],Transcript_8236
TRINITY_DN1411_c0_g8_i1 len=2579 path=[1:0-392 2:393-431 3:432-2578],Transcript_8237
TRINITY_DN1411_c7_g1_i1 len=325 path=[0:0-324],Transcript_8238
TRINITY_DN1411_c1_g1_i1 len=631 path=[0:0-374 1:375-404 2:405-630],Transcript_8239
TRINITY_DN1464_c0_g1_i1 len=1347 path=[0:0-1346],Transcript_8240
TRINITY_DN1408_c0_g1_i1 len=283 path=[0:0-282],Transcript_8241
TRINITY_DN1444_c0_g1_i4 len=3488 path=[0:0-400 1:401-469 2:470-1476 3:1477-1602 4:1603-3487],Transcript_8242
TRINITY_DN1470_c0_g1_i1 len=2457 path=[0:0-2456],Transcript_8243
TRINITY_DN1450_c0_g2_i2 len=2698 path=[0:0-389 1:390-459 2:460-501 3:502-587 4:588-944 5:945-1058 6:1059-1098 7:1099-1166 8:1167-2697],Transcript_8244
TRINITY_DN1434_c0_g1_i15 len=1325 path=[1:0-380 2:381-493 3:494-586 4:587-659 5:660-777 6:778-840 8:841-926 9:927-1079 10:1080-1161 11:1162-1163 12:1164-1270 13:1271-1280 14:1281-1285 16:1286-1324],Transcript_8245
TRINITY_DN1456_c0_g1_i1 len=707 path=[0:0-706],Transcript_8246
TRINITY_DN1456_c0_g2_i1 len=1877 path=[0:0-1876],Transcript_8247
TRINITY_DN1498_c0_g1_i3 len=3202 path=[0:0-287 1:288-364 2:365-489 3:490-579 4:580-3201],Transcript_8248
TRINITY_DN1403_c1_g1_i4 len=2509 path=[0:0-178 1:179-246 2:247-536 3:537-615 4:616-1381 5:1382-1446 6:1447-2508],Transcript_8249
TRINITY_DN1403_c2_g1_i1 len=2923 path=[0:0-1464 2:1465-2922],Transcript_8250
TRINITY_DN1403_c0_g1_i1 len=1615 path=[0:0-1411 2:1412-1614],Transcript_8251
TRINITY_DN1403_c0_g2_i1 len=2601 path=[0:0-2042 1:2043-2122 2:2123-2600],Transcript_8252
TRINITY_DN1451_c0_g1_i2 len=1582 path=[0:0-794 1:795-876 2:877-1238 3:1239-1303 4:1304-1581],Transcript_8253
TRINITY_DN1462_c0_g1_i1 len=1032 path=[0:0-1031],Transcript_8254
TRINITY_DN1435_c0_g1_i1 len=1979 path=[0:0-1228 1:1229-1388 2:1389-1978],Transcript_8255
TRINITY_DN1412_c5_g1_i1 len=201 path=[0:0-200],Transcript_8256
TRINITY_DN1412_c0_g1_i4 len=573 path=[0:0-300 1:301-379 2:380-572],Transcript_8257
TRINITY_DN1412_c0_g2_i1 len=425 path=[0:0-424],Transcript_8258
TRINITY_DN1412_c3_g1_i1 len=1721 path=[0:0-1034 1:1035-1098 2:1099-1720],Transcript_8259
TRINITY_DN1412_c4_g1_i1 len=1588 path=[0:0-1587],Transcript_8260
TRINITY_DN1412_c1_g3_i1 len=1491 path=[0:0-698 1:699-770 2:771-1490],Transcript_8261
TRINITY_DN1412_c1_g2_i1 len=1072 path=[0:0-181 1:182-251 2:252-1071],Transcript_8262
TRINITY_DN1412_c1_g1_i9 len=2635 path=[1:0-617 2:618-693 3:694-924 4:925-1003 5:1004-1485 6:1486-1524 8:1525-1686 9:1687-1767 10:1768-2634],Transcript_8263
TRINITY_DN1412_c2_g1_i3 len=2955 path=[0:0-837 2:838-2029 3:2030-2128 4:2129-2371 5:2372-2439 6:2440-2496 7:2497-2574 8:2575-2954],Transcript_8264
TRINITY_DN1412_c1_g6_i1 len=1937 path=[0:0-1936],Transcript_8265
TRINITY_DN1412_c1_g5_i1 len=1455 path=[0:0-1454],Transcript_8266
TRINITY_DN1412_c1_g4_i1 len=544 path=[0:0-543],Transcript_8267
TRINITY_DN1412_c1_g8_i1 len=900 path=[0:0-899],Transcript_8268
TRINITY_DN1410_c0_g1_i1 len=1433 path=[0:0-1432],Transcript_8269
TRINITY_DN1471_c0_g1_i1 len=1525 path=[0:0-262 1:263-347 2:348-883 3:884-949 4:950-1524],Transcript_8270
TRINITY_DN1432_c0_g1_i1 len=1817 path=[0:0-1816],Transcript_8271
TRINITY_DN1443_c0_g1_i5 len=812 path=[0:0-247 1:248-313 2:314-389 3:390-467 4:468-811],Transcript_8272
TRINITY_DN1466_c0_g2_i2 len=1160 path=[0:0-215 2:216-310 3:311-482 4:483-566 5:567-761 6:762-1159],Transcript_8273
TRINITY_DN1466_c0_g3_i2 len=1368 path=[0:0-539 1:540-628 2:629-709 3:710-780 4:781-1367],Transcript_8274
TRINITY_DN1438_c0_g4_i1 len=2314 path=[0:0-2313],Transcript_8275
TRINITY_DN1438_c0_g5_i1 len=2959 path=[0:0-2958],Transcript_8276
TRINITY_DN1438_c0_g1_i1 len=3139 path=[0:0-2192 1:2193-2588 2:2589-3138],Transcript_8277
TRINITY_DN1438_c0_g2_i1 len=605 path=[0:0-604],Transcript_8278
TRINITY_DN1438_c0_g3_i3 len=2504 path=[0:0-871 1:872-970 2:971-995 3:996-1128 4:1129-2503],Transcript_8279
TRINITY_DN1482_c0_g1_i2 len=1505 path=[0:0-24 2:25-111 3:112-184 5:185-207 6:208-243 8:244-633 10:634-1139 12:1140-1395 14:1396-1504],Transcript_8280
TRINITY_DN1437_c1_g1_i4 len=1014 path=[1:0-299 2:300-1013],Transcript_8281
TRINITY_DN1437_c0_g1_i2 len=1832 path=[2:0-186 4:187-207 6:208-333 7:334-355 9:356-390 11:391-397 12:398-605 13:606-655 15:656-832 17:833-860 18:861-1831],Transcript_8282
TRINITY_DN1437_c0_g3_i2 len=2938 path=[0:0-2937],Transcript_8283
TRINITY_DN1439_c0_g2_i1 len=856 path=[0:0-336 1:337-414 2:415-855],Transcript_8284
TRINITY_DN1420_c0_g1_i1 len=1806 path=[0:0-1200 1:1201-1269 2:1270-1375 3:1376-1482 4:1483-1805],Transcript_8285
TRINITY_DN1420_c0_g2_i3 len=2833 path=[0:0-1029 1:1030-2832],Transcript_8286
TRINITY_DN1461_c0_g2_i1 len=2138 path=[0:0-764 1:765-767 2:768-835 3:836-899 4:900-2137],Transcript_8287
TRINITY_DN1465_c0_g1_i3 len=2434 path=[0:0-1757 2:1758-1939 3:1940-2155 4:2156-2213 6:2214-2433],Transcript_8288
TRINITY_DN1465_c0_g2_i1 len=306 path=[0:0-305],Transcript_8289
TRINITY_DN1460_c0_g2_i1 len=4539 path=[0:0-4538],Transcript_8290
TRINITY_DN1473_c0_g1_i1 len=1405 path=[1:0-89 2:90-253 4:254-1404],Transcript_8291
TRINITY_DN1453_c1_g1_i1 len=2173 path=[0:0-2172],Transcript_8292
TRINITY_DN1453_c0_g1_i3 len=1548 path=[0:0-819 1:820-965 2:966-1114 3:1115-1336 4:1337-1547],Transcript_8293
TRINITY_DN1448_c0_g1_i2 len=2754 path=[0:0-1175 1:1176-1277 2:1278-2753],Transcript_8294
TRINITY_DN1448_c0_g2_i1 len=2332 path=[0:0-756 2:757-2331],Transcript_8295
TRINITY_DN1452_c0_g4_i1 len=311 path=[0:0-310],Transcript_8296
TRINITY_DN1452_c0_g1_i5 len=1629 path=[1:0-68 2:69-92 4:93-629 5:630-1251 7:1252-1314 8:1315-1460 9:1461-1548 10:1549-1628],Transcript_8297
TRINITY_DN1452_c0_g2_i3 len=1540 path=[0:0-952 2:953-1053 3:1054-1291 4:1292-1360 6:1361-1539],Transcript_8298
TRINITY_DN1452_c0_g3_i1 len=1554 path=[0:0-393 1:394-463 2:464-1553],Transcript_8299
TRINITY_DN1426_c0_g1_i1 len=2051 path=[0:0-2050],Transcript_8300
TRINITY_DN1402_c1_g1_i1 len=1709 path=[0:0-1708],Transcript_8301
TRINITY_DN1402_c0_g1_i4 len=1924 path=[0:0-1923],Transcript_8302
TRINITY_DN1457_c0_g1_i2 len=3587 path=[0:0-968 1:969-1082 2:1083-1358 3:1359-1484 4:1485-3586],Transcript_8303
TRINITY_DN1457_c1_g3_i2 len=4140 path=[0:0-2044 1:2045-2061 3:2062-3219 4:3220-4139],Transcript_8304
TRINITY_DN1457_c1_g2_i3 len=1006 path=[1:0-712 2:713-814 3:815-959 4:960-960 6:961-1005],Transcript_8305
TRINITY_DN1457_c1_g1_i1 len=2952 path=[0:0-2951],Transcript_8306
TRINITY_DN1457_c2_g1_i2 len=1124 path=[0:0-1123],Transcript_8307
TRINITY_DN1457_c1_g5_i1 len=4506 path=[0:0-4505],Transcript_8308
TRINITY_DN1457_c1_g4_i2 len=1674 path=[0:0-1673],Transcript_8309
TRINITY_DN1429_c0_g1_i4 len=2357 path=[0:0-674 1:675-817 2:818-1187 3:1188-1365 4:1366-1416 5:1417-1419 6:1420-1538 7:1539-1548 8:1549-1670 9:1671-1776 10:1777-1935 11:1936-1997 12:1998-2166 13:2167-2296 14:2297-2356],Transcript_8310
TRINITY_DN1423_c0_g1_i1 len=753 path=[0:0-752],Transcript_8311
TRINITY_DN1423_c4_g1_i1 len=491 path=[0:0-490],Transcript_8312
TRINITY_DN1423_c1_g2_i1 len=203 path=[0:0-202],Transcript_8313
TRINITY_DN1423_c1_g1_i4 len=2575 path=[0:0-1084 2:1085-1085 4:1086-2574],Transcript_8314
TRINITY_DN1480_c0_g1_i3 len=1239 path=[0:0-161 1:162-262 2:263-418 3:419-473 4:474-1238],Transcript_8315
TRINITY_DN1414_c0_g1_i1 len=589 path=[0:0-588],Transcript_8316
TRINITY_DN1474_c1_g1_i1 len=1709 path=[0:0-1708],Transcript_8317
TRINITY_DN1474_c0_g1_i1 len=1415 path=[0:0-1414],Transcript_8318
TRINITY_DN1474_c0_g2_i10 len=3050 path=[4:0-1194 43:1195-3049],Transcript_8319
TRINITY_DN1431_c0_g1_i1 len=1296 path=[0:0-1295],Transcript_8320
TRINITY_DN1431_c0_g2_i3 len=1415 path=[0:0-511 1:512-578 2:579-935 3:936-1291 4:1292-1414],Transcript_8321
TRINITY_DN1431_c0_g3_i1 len=1595 path=[0:0-1594],Transcript_8322
TRINITY_DN1431_c3_g1_i2 len=801 path=[0:0-800],Transcript_8323
TRINITY_DN1431_c1_g3_i2 len=1562 path=[0:0-1561],Transcript_8324
TRINITY_DN1431_c1_g1_i2 len=1413 path=[0:0-1412],Transcript_8325
TRINITY_DN1431_c2_g1_i1 len=2185 path=[0:0-2184],Transcript_8326
TRINITY_DN1431_c1_g6_i1 len=1805 path=[0:0-1804],Transcript_8327
TRINITY_DN1407_c0_g1_i4 len=2294 path=[0:0-144 1:145-2293],Transcript_8328
TRINITY_DN1481_c0_g2_i5 len=1837 path=[0:0-943 1:944-1080 2:1081-1182 3:1183-1264 4:1265-1404 5:1405-1457 6:1458-1836],Transcript_8329
TRINITY_DN1481_c1_g1_i2 len=615 path=[1:0-451 9:452-514 10:515-516 12:517-558 14:559-614],Transcript_8330
TRINITY_DN1449_c0_g1_i1 len=1196 path=[0:0-241 1:242-351 2:352-1195],Transcript_8331
TRINITY_DN1409_c0_g1_i2 len=1665 path=[0:0-595 1:596-669 2:670-1664],Transcript_8332
TRINITY_DN1409_c0_g2_i2 len=844 path=[1:0-349 2:350-843],Transcript_8333
TRINITY_DN1425_c0_g1_i4 len=1129 path=[0:0-243 1:244-332 2:333-495 3:496-597 4:598-1128],Transcript_8334
TRINITY_DN1484_c0_g1_i1 len=894 path=[0:0-893],Transcript_8335
TRINITY_DN1413_c0_g2_i1 len=2379 path=[0:0-2378],Transcript_8336
TRINITY_DN1455_c0_g1_i1 len=1933 path=[0:0-946 1:947-1161 2:1162-1164 3:1165-1267 4:1268-1932],Transcript_8337
TRINITY_DN1455_c0_g2_i1 len=405 path=[0:0-404],Transcript_8338
TRINITY_DN1497_c0_g1_i2 len=2393 path=[1:0-747 2:748-2392],Transcript_8339
TRINITY_DN1497_c0_g2_i1 len=394 path=[0:0-393],Transcript_8340
TRINITY_DN1404_c0_g1_i2 len=2689 path=[0:0-2081 1:2082-2170 2:2171-2688],Transcript_8341
TRINITY_DN1442_c0_g1_i2 len=1244 path=[0:0-105 1:106-120 2:121-1243],Transcript_8342
TRINITY_DN1489_c0_g1_i4 len=652 path=[0:0-308 1:309-390 2:391-427 3:428-561 4:562-651],Transcript_8343
TRINITY_DN1454_c0_g1_i3 len=782 path=[0:0-86 1:87-213 2:214-279 3:280-363 4:364-485 5:486-571 6:572-781],Transcript_8344
TRINITY_DN1499_c0_g1_i3 len=1665 path=[0:0-551 1:552-631 2:632-1664],Transcript_8345
TRINITY_DN1446_c0_g4_i1 len=616 path=[0:0-615],Transcript_8346
TRINITY_DN1446_c0_g1_i1 len=1581 path=[0:0-1580],Transcript_8347
TRINITY_DN1446_c0_g2_i3 len=3860 path=[0:0-2791 1:2792-2882 3:2883-2911 5:2912-3129 6:3130-3169 8:3170-3458 9:3459-3484 10:3485-3859],Transcript_8348
TRINITY_DN1446_c0_g3_i3 len=3438 path=[0:0-1743 4:1744-1784 6:1785-2078 7:2079-2162 9:2163-3437],Transcript_8349
TRINITY_DN1427_c0_g2_i6 len=1777 path=[1:0-126 2:127-130 3:131-164 7:165-175 9:176-188 10:189-220 12:221-1776],Transcript_8350
TRINITY_DN1427_c0_g3_i3 len=1388 path=[0:0-292 1:293-396 2:397-570 3:571-657 4:658-1387],Transcript_8351
TRINITY_DN1427_c1_g1_i3 len=1122 path=[2:0-145 5:146-982 8:983-1033 10:1034-1049 11:1050-1121],Transcript_8352
TRINITY_DN1427_c2_g1_i3 len=1729 path=[0:0-843 1:844-1728],Transcript_8353
TRINITY_DN1441_c0_g4_i1 len=1967 path=[0:0-1966],Transcript_8354
TRINITY_DN1441_c0_g5_i1 len=505 path=[0:0-504],Transcript_8355
TRINITY_DN1441_c0_g2_i1 len=1181 path=[1:0-216 2:217-1180],Transcript_8356
TRINITY_DN1441_c1_g2_i1 len=510 path=[0:0-509],Transcript_8357
TRINITY_DN1441_c2_g1_i2 len=1687 path=[0:0-1686],Transcript_8358
TRINITY_DN1486_c0_g1_i3 len=775 path=[0:0-188 1:189-286 2:287-337 3:338-461 4:462-720 5:721-754 6:755-774],Transcript_8359
TRINITY_DN1430_c0_g1_i9 len=1277 path=[0:0-379 1:380-480 2:481-599 3:600-732 4:733-857 5:858-921 6:922-1276],Transcript_8360
TRINITY_DN1459_c0_g1_i1 len=2972 path=[0:0-941 1:942-1041 2:1042-2971],Transcript_8361
TRINITY_DN1428_c0_g1_i2 len=962 path=[0:0-77 1:78-161 2:162-271 3:272-313 4:314-410 5:411-544 6:545-769 7:770-961],Transcript_8362
TRINITY_DN1421_c0_g1_i4 len=1100 path=[0:0-1099],Transcript_8363
TRINITY_DN1458_c0_g1_i1 len=1530 path=[0:0-533 1:534-616 2:617-688 3:689-783 4:784-945 5:946-1050 6:1051-1529],Transcript_8364
TRINITY_DN1476_c0_g1_i1 len=1115 path=[0:0-1114],Transcript_8365
TRINITY_DN1424_c1_g1_i1 len=851 path=[0:0-850],Transcript_8366
TRINITY_DN1424_c0_g2_i1 len=1762 path=[0:0-1761],Transcript_8367
TRINITY_DN1424_c0_g3_i1 len=252 path=[0:0-251],Transcript_8368
TRINITY_DN1488_c0_g1_i1 len=1289 path=[0:0-565 1:566-638 2:639-1288],Transcript_8369
TRINITY_DN1418_c0_g1_i3 len=2447 path=[0:0-1926 1:1927-1998 2:1999-2446],Transcript_8370
TRINITY_DN964_c0_g1_i8 len=2168 path=[0:0-500 1:501-561 2:562-632 3:633-714 5:715-803 6:804-959 8:960-1189 9:1190-1325 10:1326-2167],Transcript_8371
TRINITY_DN964_c0_g2_i3 len=1413 path=[0:0-304 2:305-576 3:577-764 4:765-1412],Transcript_8372
TRINITY_DN987_c0_g1_i6 len=1603 path=[0:0-464 2:465-550 3:551-1042 4:1043-1123 6:1124-1602],Transcript_8373
